model,rmse,r-squared,correlation
"LSTM(1,4,1)",1268.2172334667778,0.3210056203240619,0.6347027061441937
Prophet,1493.0683994197493,-0.001788600555709,0.3045531332909109
Prophet-LSTM,776.4213712564484,0.7455081723711081,0.8697644923372456
"ARIMA(9, 1, 9)",644.4618772074241,0.8246630924149754,0.9121029074478676
ARIMA-LSTM,688.4520124095163,0.7999096120986804,0.9034281951395763
