model,rmse,r-squared,correlation
"LSTM(1,4,1)",3441.145454159429,0.0084123369625405,0.6183306944526348
Prophet,3743.512031601421,-0.1740720296681208,0.4160167950829706
Prophet-LSTM,2314.10445455704,0.5515738082822922,0.8646875515371527
"ARIMA(2, 1, 2)",1557.416222057185,0.7968885332942577,0.9021290849708212
ARIMA-LSTM,1688.8496527056534,0.7968885332942577,0.8919956828055388
